('jvx (framework)', 'browser game', {'weight': 0.6})
('jazelle', 'html element', {'weight': 0.6})
('jazelle', 'java (programming language)', {'weight': 0.6})
('jazelle', 'open platform', {'weight': 0.6})
('jazelle', 'java virtual machine', {'weight': 0.6})
('jazelle', 'citeseer', {'weight': 0.6})
('jazelle', 'unix', {'weight': 0.6})
('jazelle', 'swf', {'weight': 0.6})
('jazelle', 'html', {'weight': 0.6})
('jazelle', 'button (computing)', {'weight': 0.6})
('jazelle', 'mac os', {'weight': 0.6})
('jazelle', 'bookmarklet', {'weight': 0.6})
('jazelle', 'microsoft windows', {'weight': 0.6})
('jazelle', 'java applet', {'weight': 0.6})
('jazelle', 'cortado (software)', {'weight': 0.6})
('jazelle', 'windows media player', {'weight': 0.6})
('jazelle', 'quicktime', {'weight': 0.6})
('jazelle', 'command-line interface', {'weight': 0.6})
('jazelle', 'application (computing)', {'weight': 0.6})
('jazelle', 'widget engine', {'weight': 0.6})
('jazelle', 'plug-in (computing)', {'weight': 0.6})
('jazelle', 'news ticker', {'weight': 0.6})
('jazelle', 'wyswyg', {'weight': 0.6})
('jazelle', '3d modeling', {'weight': 0.6})
('jazelle', 'arm architecture', {'weight': 0.5})
('jazelle', 'interpreters (computing)', {'weight': 0.5})
('jazelle', 'abstract window toolkit', {'weight': 0.6})
('jazelle', 'web browser', {'weight': 0.6})
('jazelle', 'embedded system', {'weight': 0.6})
('jazelle', 'web page', {'weight': 0.6})
('jazelle', 'program (computing)', {'weight': 0.6})
('jazelle', 'application posture', {'weight': 0.6})
('jazelle', 'mouse (computing)', {'weight': 0.6})
('openlaszlo', 'browser game', {'weight': 0.6})
('openlaszlo', 'code', {'weight': 0.6})
('openlaszlo', 'computing', {'weight': 0.6})
('openlaszlo', 'linux', {'weight': 0.6})
('openlaszlo', 'wysiwyg', {'weight': 0.6})
('openlaszlo', 'check box', {'weight': 0.6})
('openlaszlo', 'bytecode', {'weight': 0.6})
('openlaszlo', 'user interface markup languages', {'weight': 0.5})
('openlaszlo', 'java servlet', {'weight': 0.6})
('openlaszlo', 'internet explorer', {'weight': 0.6})
('openlaszlo', 'html element', {'weight': 0.6})
('openlaszlo', 'java (programming language)', {'weight': 0.6})
('openlaszlo', 'open platform', {'weight': 0.6})
('openlaszlo', 'java virtual machine', {'weight': 0.6})
('openlaszlo', 'rich internet application frameworks', {'weight': 0.5})
('openlaszlo', 'citeseer', {'weight': 0.6})
('openlaszlo', 'unix', {'weight': 0.6})
('openlaszlo', 'swf', {'weight': 0.6})
('openlaszlo', 'html', {'weight': 0.6})
('openlaszlo', 'button (computing)', {'weight': 0.6})
('openlaszlo', 'mac os', {'weight': 0.6})
('openlaszlo', 'bookmarklet', {'weight': 0.6})
('openlaszlo', 'microsoft windows', {'weight': 0.6})
('openlaszlo', 'java applet', {'weight': 0.6})
('openlaszlo', 'list of rich internet application frameworks', {'weight': 0.7})
('openlaszlo', 'cortado (software)', {'weight': 0.6})
('openlaszlo', 'windows media player', {'weight': 0.6})
('openlaszlo', 'quicktime', {'weight': 0.6})
('openlaszlo', 'command-line interface', {'weight': 0.6})
('openlaszlo', 'ajax (programming)', {'weight': 0.5})
('openlaszlo', 'application (computing)', {'weight': 0.6})
('openlaszlo', 'widget engine', {'weight': 0.6})
('openlaszlo', 'plug-in (computing)', {'weight': 0.6})
('openlaszlo', 'free software portal', {'weight': 0.7})
('openlaszlo', 'news ticker', {'weight': 0.6})
('openlaszlo', 'wyswyg', {'weight': 0.6})
('openlaszlo', '3d modeling', {'weight': 0.6})
('openlaszlo', 'container (data structure)', {'weight': 0.6})
('openlaszlo', 'comparison of user interface markup languages', {'weight': 0.7})
('openlaszlo', 'abstract window toolkit', {'weight': 0.6})
('openlaszlo', 'list of user interface markup languages', {'weight': 0.7})
('openlaszlo', 'web browser', {'weight': 0.6})
('openlaszlo', 'embedded system', {'weight': 0.6})
('openlaszlo', 'web page', {'weight': 0.6})
('openlaszlo', 'program (computing)', {'weight': 0.6})
('openlaszlo', 'application posture', {'weight': 0.6})
('openlaszlo', 'mouse (computing)', {'weight': 0.6})
('jdk', 'browser game', {'weight': 0.6})
('jdk', 'code', {'weight': 0.6})
('jdk', 'free software programmed in c++', {'weight': 0.5})
('jdk', 'javac', {'weight': 0.7})
('jdk', 'computing', {'weight': 0.6})
('jdk', 'linux', {'weight': 0.6})
('jdk', 'wysiwyg', {'weight': 0.6})
('jdk', 'free software programmed in java (programming language)', {'weight': 0.5})
('jdk', 'check box', {'weight': 0.6})
('jdk', 'bytecode', {'weight': 0.6})
('jdk', 'java servlet', {'weight': 0.6})
('jdk', 'internet explorer', {'weight': 0.6})
('jdk', 'html element', {'weight': 0.6})
('jdk', 'java (programming language)', {'weight': 0.6})
('jdk', 'open platform', {'weight': 0.6})
('jdk', 'java virtual machine', {'weight': 0.6})
('jdk', 'gpl', {'weight': 0.7})
('jdk', 'citeseer', {'weight': 0.6})
('jdk', 'unix', {'weight': 0.6})
('jdk', 'free virtualization software', {'weight': 0.5})
('jdk', 'hotspot', {'weight': 0.7})
('jdk', 'swf', {'weight': 0.6})
('jdk', 'html', {'weight': 0.6})
('jdk', 'button (computing)', {'weight': 0.6})
('jdk', 'mac os', {'weight': 0.6})
('jdk', 'bookmarklet', {'weight': 0.6})
('jdk', 'microsoft windows', {'weight': 0.6})
('jdk', 'java applet', {'weight': 0.6})
('jdk', 'java portal', {'weight': 0.7})
('jdk', 'java platform, standard edition', {'weight': 0.7})
('jdk', 'cortado (software)', {'weight': 0.6})
('jdk', 'windows media player', {'weight': 0.6})
('jdk', 'quicktime', {'weight': 0.6})
('jdk', 'command-line interface', {'weight': 0.6})
('jdk', 'application (computing)', {'weight': 0.6})
('jdk', 'widget engine', {'weight': 0.6})
('jdk', 'plug-in (computing)', {'weight': 0.6})
('jdk', 'free software portal', {'weight': 0.7})
('jdk', 'news ticker', {'weight': 0.6})
('jdk', 'wyswyg', {'weight': 0.6})
('jdk', 'apache harmony', {'weight': 0.7})
('jdk', 'free java implementations', {'weight': 0.7})
('jdk', 'java class library', {'weight': 0.7})
('jdk', 'java (programming language) libraries', {'weight': 0.5})
('jdk', 'container (data structure)', {'weight': 0.6})
('jdk', 'abstract window toolkit', {'weight': 0.6})
('jdk', 'icedtea', {'weight': 0.7})
('jdk', 'java platform', {'weight': 0.5})
('jdk', '3d modeling', {'weight': 0.6})
('jdk', 'web browser', {'weight': 0.6})
('jdk', 'embedded system', {'weight': 0.6})
('jdk', 'web page', {'weight': 0.6})
('jdk', 'program (computing)', {'weight': 0.6})
('jdk', 'application posture', {'weight': 0.6})
('jdk', 'mouse (computing)', {'weight': 0.6})
('fourier transform', 'browser game', {'weight': 0.6})
('fourier transform', 'code', {'weight': 0.6})
('fourier transform', 'time stretch dispersive fourier transform', {'weight': 0.7})
('fourier transform', 'symbolic integration', {'weight': 0.7})
('fourier transform', 'computing', {'weight': 0.6})
('fourier transform', 'short-time fourier transform', {'weight': 0.7})
('fourier transform', 'multidimensional transform', {'weight': 0.7})
('fourier transform', 'joseph fourier', {'weight': 0.5})
('fourier transform', 'concepts in physics', {'weight': 0.5})
('fourier transform', 'wysiwyg', {'weight': 0.6})
('fourier transform', 'check box', {'weight': 0.6})
('fourier transform', 'mathematical physics', {'weight': 0.5})
('fourier transform', 'bytecode', {'weight': 0.6})
('fourier transform', 'theoretical physics', {'weight': 0.5})
('fourier transform', 'java servlet', {'weight': 0.6})
('fourier transform', 'internet explorer', {'weight': 0.6})
('fourier transform', 'fourier analysis', {'weight': 0.5})
('fourier transform', 'java (programming language)', {'weight': 0.6})
('fourier transform', 'open platform', {'weight': 0.6})
('fourier transform', 'java virtual machine', {'weight': 0.6})
('fourier transform', 'fourier\xe2\x80\x93mukai transform', {'weight': 0.7})
('fourier transform', 'integral transform', {'weight': 0.7})
('fourier transform', 'analog signal processing', {'weight': 0.7})
('fourier transform', 'citeseer', {'weight': 0.6})
('fourier transform', 'unix', {'weight': 0.6})
('fourier transform', 'dft matrix', {'weight': 0.7})
('fourier transform', 'fast fourier transform', {'weight': 0.7})
('fourier transform', 'swf', {'weight': 0.6})
('fourier transform', 'spectral density', {'weight': 0.7})
('fourier transform', 'spectral density estimation', {'weight': 0.7})
('fourier transform', 'html', {'weight': 0.6})
('fourier transform', 'discrete fourier transform', {'weight': 0.7})
('fourier transform', 'button (computing)', {'weight': 0.6})
('fourier transform', 'unitary operators', {'weight': 0.5})
('fourier transform', 'mac os', {'weight': 0.6})
('fourier transform', 'ngc 4622', {'weight': 0.7})
('fourier transform', 'bookmarklet', {'weight': 0.6})
('fourier transform', 'hankel transform', {'weight': 0.7})
('fourier transform', 'microsoft windows', {'weight': 0.6})
('fourier transform', 'discrete-time fourier transform', {'weight': 0.7})
('fourier transform', 'java applet', {'weight': 0.6})
('fourier transform', 'hartley transform', {'weight': 0.7})
('fourier transform', 'beevers\xe2\x80\x93lipson strip', {'weight': 0.7})
('fourier transform', 'cortado (software)', {'weight': 0.6})
('fourier transform', 'fourier sine transform', {'weight': 0.7})
('fourier transform', 'windows media player', {'weight': 0.6})
('fourier transform', 'quicktime', {'weight': 0.6})
('fourier transform', 'command-line interface', {'weight': 0.6})
('fourier transform', 'fourier series', {'weight': 0.7})
('fourier transform', 'laplace transform', {'weight': 0.7})
('fourier transform', 'application (computing)', {'weight': 0.6})
('fourier transform', 'fractional fourier transform', {'weight': 0.7})
('fourier transform', 'html element', {'weight': 0.6})
('fourier transform', 'widget engine', {'weight': 0.6})
('fourier transform', 'plug-in (computing)', {'weight': 0.6})
('fourier transform', 'news ticker', {'weight': 0.6})
('fourier transform', 'wyswyg', {'weight': 0.6})
('fourier transform', 'fourier inversion theorem', {'weight': 0.7})
('fourier transform', 'linux', {'weight': 0.6})
('fourier transform', 'space-time fourier transform', {'weight': 0.7})
('fourier transform', 'linear canonical transform', {'weight': 0.7})
('fourier transform', 'indirect fourier transform', {'weight': 0.7})
('fourier transform', '3d modeling', {'weight': 0.6})
('fourier transform', 'mellin transform', {'weight': 0.7})
('fourier transform', 'fourier\xe2\x80\x93deligne transform', {'weight': 0.7})
('fourier transform', 'container (data structure)', {'weight': 0.6})
('fourier transform', 'abstract window toolkit', {'weight': 0.6})
('fourier transform', 'integral transforms', {'weight': 0.5})
('fourier transform', 'fourier multiplier', {'weight': 0.7})
('fourier transform', 'transform (mathematics)', {'weight': 0.7})
('fourier transform', 'fourier integral operator', {'weight': 0.7})
('fourier transform', 'web browser', {'weight': 0.6})
('fourier transform', 'embedded system', {'weight': 0.6})
('fourier transform', 'web page', {'weight': 0.6})
('fourier transform', 'program (computing)', {'weight': 0.6})
('fourier transform', 'application posture', {'weight': 0.6})
('fourier transform', 'mouse (computing)', {'weight': 0.6})
('openjdk', 'browser game', {'weight': 0.6})
('openjdk', 'code', {'weight': 0.6})
('openjdk', 'free software programmed in c++', {'weight': 0.5})
('openjdk', 'javac', {'weight': 0.7})
('openjdk', 'computing', {'weight': 0.6})
('openjdk', 'linux', {'weight': 0.6})
('openjdk', 'wysiwyg', {'weight': 0.6})
('openjdk', 'free software programmed in java (programming language)', {'weight': 0.5})
('openjdk', 'check box', {'weight': 0.6})
('openjdk', 'bytecode', {'weight': 0.6})
('openjdk', 'java servlet', {'weight': 0.6})
('openjdk', 'internet explorer', {'weight': 0.6})
('openjdk', 'html element', {'weight': 0.6})
('openjdk', 'java (programming language)', {'weight': 0.6})
('openjdk', 'open platform', {'weight': 0.6})
('openjdk', 'java virtual machine', {'weight': 0.6})
('openjdk', 'gpl', {'weight': 0.7})
('openjdk', 'citeseer', {'weight': 0.6})
('openjdk', 'unix', {'weight': 0.6})
('openjdk', 'free virtualization software', {'weight': 0.5})
('openjdk', 'hotspot', {'weight': 0.7})
('openjdk', 'swf', {'weight': 0.6})
('openjdk', 'html', {'weight': 0.6})
('openjdk', 'button (computing)', {'weight': 0.6})
('openjdk', 'mac os', {'weight': 0.6})
('openjdk', 'bookmarklet', {'weight': 0.6})
('openjdk', 'microsoft windows', {'weight': 0.6})
('openjdk', 'java applet', {'weight': 0.6})
('openjdk', 'java portal', {'weight': 0.7})
('openjdk', 'java platform, standard edition', {'weight': 0.7})
('openjdk', 'cortado (software)', {'weight': 0.6})
('openjdk', 'windows media player', {'weight': 0.6})
('openjdk', 'quicktime', {'weight': 0.6})
('openjdk', 'command-line interface', {'weight': 0.6})
('openjdk', 'application (computing)', {'weight': 0.6})
('openjdk', 'widget engine', {'weight': 0.6})
('openjdk', 'plug-in (computing)', {'weight': 0.6})
('openjdk', 'free software portal', {'weight': 0.7})
('openjdk', 'news ticker', {'weight': 0.6})
('openjdk', 'wyswyg', {'weight': 0.6})
('openjdk', 'apache harmony', {'weight': 0.7})
('openjdk', 'free java implementations', {'weight': 0.7})
('openjdk', 'java class library', {'weight': 0.7})
('openjdk', 'java (programming language) libraries', {'weight': 0.5})
('openjdk', 'container (data structure)', {'weight': 0.6})
('openjdk', 'abstract window toolkit', {'weight': 0.6})
('openjdk', 'icedtea', {'weight': 0.7})
('openjdk', 'java platform', {'weight': 0.5})
('openjdk', '3d modeling', {'weight': 0.6})
('openjdk', 'web browser', {'weight': 0.6})
('openjdk', 'embedded system', {'weight': 0.6})
('openjdk', 'web page', {'weight': 0.6})
('openjdk', 'program (computing)', {'weight': 0.6})
('openjdk', 'application posture', {'weight': 0.6})
('openjdk', 'mouse (computing)', {'weight': 0.6})
('mouse (computing)', 'computer peripherals', {'weight': 0.5})
('mouse (computing)', 'computer accessibility', {'weight': 0.7})
('mouse (computing)', 'video game control methods', {'weight': 0.5})
('mouse (computing)', 'code', {'weight': 0.6})
('mouse (computing)', 'computing', {'weight': 0.6})
('mouse (computing)', 'linux', {'weight': 0.6})
('mouse (computing)', 'browser game', {'weight': 0.6})
('mouse (computing)', 'electronics portal', {'weight': 0.7})
('mouse (computing)', 'wysiwyg', {'weight': 0.6})
('mouse (computing)', 'check box', {'weight': 0.6})
('mouse (computing)', 'pointing devices', {'weight': 0.5})
('mouse (computing)', 'history of human\xe2\x80\x93computer interaction', {'weight': 0.5})
('mouse (computing)', 'java servlet', {'weight': 0.6})
('mouse (computing)', 'internet explorer', {'weight': 0.6})
('mouse (computing)', 'html element', {'weight': 0.6})
('mouse (computing)', 'java (programming language)', {'weight': 0.6})
('mouse (computing)', 'computing input devices', {'weight': 0.5})
('mouse (computing)', 'bytecode', {'weight': 0.6})
('mouse (computing)', 'footmouse', {'weight': 0.7})
('mouse (computing)', 'gesture recognition', {'weight': 0.7})
('mouse (computing)', 'open platform', {'weight': 0.6})
('mouse (computing)', 'unix', {'weight': 0.6})
('mouse (computing)', 'swf', {'weight': 0.6})
('mouse (computing)', 'html', {'weight': 0.6})
('mouse (computing)', 'button (computing)', {'weight': 0.6})
('mouse (computing)', 'mac os', {'weight': 0.6})
('mouse (computing)', 'bookmarklet', {'weight': 0.6})
('mouse (computing)', 'pointing stick', {'weight': 0.7})
('mouse (computing)', 'microsoft windows', {'weight': 0.6})
('mouse (computing)', 'java applet', {'weight': 0.6})
('mouse (computing)', 'mouse keys', {'weight': 0.7})
('mouse (computing)', 'citeseer', {'weight': 0.6})
('mouse (computing)', 'cortado (software)', {'weight': 0.6})
('mouse (computing)', 'windows media player', {'weight': 0.6})
('mouse (computing)', 'quicktime', {'weight': 0.6})
('mouse (computing)', 'list of wireless mice with nano receivers', {'weight': 0.7})
('mouse (computing)', 'command-line interface', {'weight': 0.6})
('mouse (computing)', 'mouse tracking', {'weight': 0.7})
('mouse (computing)', 'application (computing)', {'weight': 0.6})
('mouse (computing)', 'widget engine', {'weight': 0.6})
('mouse (computing)', 'plug-in (computing)', {'weight': 0.6})
('mouse (computing)', '1964 introductions', {'weight': 0.5})
('mouse (computing)', 'news ticker', {'weight': 0.6})
('mouse (computing)', 'wyswyg', {'weight': 0.6})
('mouse (computing)', 'human\xe2\x80\x93computer interaction', {'weight': 0.7})
('mouse (computing)', 'java virtual machine', {'weight': 0.6})
('mouse (computing)', 'rotational mouse', {'weight': 0.7})
('mouse (computing)', '3d modeling', {'weight': 0.6})
('mouse (computing)', 'container (data structure)', {'weight': 0.6})
('mouse (computing)', 'abstract window toolkit', {'weight': 0.6})
('mouse (computing)', 'american inventions', {'weight': 0.5})
('mouse (computing)', 'graphics tablet', {'weight': 0.7})
